"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
64-770,"Proximo Spirits","Jose Cuervo Tradicional Reposado","","80",".75L","$24.95","$28.70",
64-775,"Proximo Spirits","Jose Cuervo Tradicional Silver","","80","1.75L","$39.95","$48.70",
64-776,"Proximo Spirits","Jose Cuervo Tradicional Silver","","80",".75L","$24.95","$28.70",
64-779,"MHW/ Casa Dragones","Casa Dragones Blanco Tequila","","80",".75L","$79.95","$83.70",
64-787,"Sazerac Co.","Margaritaville Silver","","80",".75L","$15.95","$19.70",
64-788,"Diageo NA","Don Julio Blanco","","80","1.75L","$104.95","$113.70",
64-789,"Diageo NA","Don Julio 70th Anniversary","","80",".75L","$69.95","$73.70",
64-790,"Diageo NA","Don Julio Blanco","","80",".75L","$51.95","$55.70",
64-791,"Diageo NA","Don Julio Blanco","","80",".375L","$26.95","$28.83",
64-792,"William Grant & Sons","Milagro Silver","","80","1.75L","$59.95","$68.70",
64-793,"William Grant & Sons","Milagro Silver","","80",".75L","$34.95","$38.70",
64-796,"Stoli Group USA","Villa One Silver Tequila","002M","80",".75L","$44.95","$48.70",
64-802,"Heaven Hill","Lunazul Blanco El Humoso Smoked Tequila","","80",".75L","$27.95","$31.70",
64-804,"Brown - Forman","El Jimador Blanco","","80","1.75L","$35.95","$44.70",
64-805,"Brown - Forman","El Jimador Blanco","","80",".75L","$21.95","$25.70",
64-807,"Beam Suntory","Hornitos Plata","","80","1.75L","$41.95","$50.70",
64-808,"Beam Suntory","Hornitos Plata","","80",".75L","$28.95","$32.70",
64-809,"Beam Suntory","Hornitos Plata","","80",".375L","$14.95","$16.83",
64-811,"Beam Suntory","Hornitos Lime Shot","","70",".75L","$28.95","$32.70",
64-817,"Sazerac Co.","El Toro Silver","","80",".75L","$8.95","$12.70",
64-824,"Beam Suntory","El Tesoro Blanco","","80",".75L","$54.95","$58.70",
64-828,"Brown - Forman","Herradura Ultra","","80",".75L","$59.95","$63.70",
64-830,"Brown - Forman","Herradura Silver","","80",".75L","$49.95","$53.70",
64-840,"Pernod Ricard USA","Avion Silver","","80",".75L","$43.95","$47.70",
64-841,"Pernod Ricard USA","Avion Silver","","80",".375L","$21.95","$23.83",
64-845,"Bacardi USA","Corzo Silver","","80",".75L","$35.95","$39.70",
64-852,"Sans Wine & Spirits","Coa De Jima Silver","","80",".75L","$24.95","$28.70",
64-866,"Sazerac Co.","Corazon Blanco De Agave","","80",".75L","$21.95","$25.70",
64-869,"DV Spirits LLC","Dulce Vida Organic Blanco 80P","","80",".75L","$29.95","$33.70",
64-874,"DV Spirits LLC","Dulce Vida Lime","","70",".75L","$24.95","$28.70",
64-876,"DV Spirits LLC","Dulce Vida Pineapple Jalapeno","","70",".75L","$24.95","$28.70",
64-880,"Luxco","Juarez Silver","","80",".75L","$11.95","$15.70",
64-891,"MHW/ Casa Komos","Tequila Komos Anejo Cristalino","","80",".75L","$119.95","$123.70",
64-894,"Luxco","Exotico Blanco","","80","1.75L","$39.95","$48.70",
64-895,"Luxco","Exotico Blanco","","80",".75L","$21.95","$25.70",
64-920,"MHW/ 818 Spirits","818 Blanco Tequila","001M","80",".75L","$44.95","$48.70",
64-923,"Sazerac Co.","Montezuma Teq White","","80","1.75L","$21.95","$30.70",
64-925,"Sazerac Co.","Montezuma Teq White","","80",".75L","$10.95","$14.70",
64-936,"E & J Gallo Winery","Familia Camarena Silver","","80","1.75L","$44.95","$53.70",
64-937,"E & J Gallo Winery","Familia Camarena Silver","","80",".75L","$26.95","$30.70",
64-938,"E & J Gallo Winery","Familia Camarena Silver","","80",".375L","$10.95","$12.83",
64-951,"Pernod Ricard USA","Olmeca Altos Plata","","80","1.75L","$49.95","$58.70",
64-952,"Pernod Ricard USA","Olmeca Altos Plata","","80",".75L","$29.95","$33.70",
64-953,"Pernod Ricard USA","Olmeca Altos Plata","","80",".375L","$14.95","$16.83",
64-969,"Constellation Brands","Mi Campo Blanco","","80",".75L","$25.95","$29.70",
64-972,"Constellation Brands","Mi Campo Reposado","","80",".75L","$25.95","$29.70",
64-984,"Proximo Spirits","1800 Cristalino","","80",".75L","$59.95","$63.70",
64-991,"Luxco","Dos Primos Blanco","","80",".75L","$47.95","$51.70",
65-001,"Shaw-Ross International","Santo Fino Blanco Tequila","","80",".75L","$43.95","$47.70",
65-010,"McCormick Distilling Co.","Pancho Villa White","","80",".75L","$12.45","$16.20",
65-012,"Bacardi USA","ROCA Patron Silver","","90",".75L","$69.95","$73.70",
65-014,"Bacardi USA","Patron Silver w/o Box","","80",".75L","$49.95","$53.70",
65-015,"Bacardi USA","ROCA Patron Silver","","80",".375L","$34.95","$36.83",
65-016,"Bacardi USA","Gran Patron Platinum","006Y","80",".75L","$199.95","$203.70",
65-018,"Bacardi USA","Patron Silver","001M","80","1.75L","$104.95","$113.70",
65-019,"Bacardi USA","Patron Silver","","80",".75L","$49.95","$53.70",
65-020,"Bacardi USA","Patron Silver","","80",".375L","$26.95","$28.83",
65-021,"Proximo Spirits","1800 Silver","","80","1.75L","$40.95","$49.70",
65-022,"Proximo Spirits","1800 Silver","","80",".75L","$31.95","$35.70",
65-023,"Proximo Spirits","1800 Silver","","80",".375L","$17.45","$19.33",
65-027,"Proximo Spirits","1800 Coconut","","70","1.75L","$40.95","$49.70",
65-028,"Proximo Spirits","1800 Coconut","","80",".75L","$31.95","$35.70",
65-029,"Proximo Spirits","1800 Coconut","","80",".375L","$17.45","$19.33",
65-040,"Brown - Forman","Pepe Lopez Silver","","80","1.75L","$29.95","$38.70",
65-042,"Brown - Forman","Pepe Lopez Silver","","80",".75L","$18.95","$22.70",
65-047,"Heaven Hill","Lunazul Blanco","","80","1.75L","$39.95","$48.70",
65-048,"Heaven Hill","Lunazul Blanco","","80",".75L","$21.95","$25.70",
65-049,"Heaven Hill","Lunazul Blanco","","80",".375L","$10.50","$12.38",
65-074,"Beam Suntory","Sauza Silver","","80","1.75L","$36.95","$45.70",
65-075,"Beam Suntory","Sauza Silver","","80",".75L","$19.95","$23.70",
65-082,"Beam Suntory","Tres Generaciones Plata","","80",".75L","$39.95","$43.70",
65-088,"Sazerac Co.","Siete Leguas Blanco","","80",".75L","$47.95","$51.70",
65-094,"Infinium Spirits","Corralejo Silver","","80",".75L","$29.95","$33.70",
65-104,"McCormick Distilling Co.","Tarantula Azul Co-Pk","","70",".75L","$21.95","$25.70",
65-118,"Trinchero Family Estates","Tres Agaves Blanco","","80",".75L","$34.95","$38.70",
